tic_id,decision,final_class,confidence,period,period_err,depth,depth_err,duration,duration_err,snr,flag_reasons
131581531,DISCARD,No Signal,0.4855,3.058631,0.0,-3.7e-05,0.0,0.1,0.0,2.57,BLS signal SNR is below detection threshold
1117953,DISCARD,No Signal,0.5476,0.631116,0.0,0.00015,0.0,0.1,0.0,2.26,BLS signal SNR is below detection threshold
333734769,DISCARD,No Signal,0.2073,1.508966,0.0,0.000135,0.0,0.1,0.0,3.96,BLS signal SNR is below detection threshold
34505005,DISCARD,No Signal,0.0225,5.161633,0.0,0.000419,0.0,0.1,0.0,4.89,BLS signal SNR is below detection threshold
233569098,DISCARD,No Signal,0.2131,22.012199,0.0,0.000275,0.0,0.1,0.0,3.93,BLS signal SNR is below detection threshold
389040826,DISCARD,No Signal,0.2513,4.717033,0.0,-7.2e-05,0.0,0.1,0.0,3.74,BLS signal SNR is below detection threshold
400786146,DISCARD,No Signal,0.4391,15.534019,0.0,5.7e-05,0.0,0.1,0.0,2.8,BLS signal SNR is below detection threshold
444842193,DISCARD,No Signal,0.5072,1.076839,0.0,0.000286,0.0,0.1,0.0,2.46,BLS signal SNR is below detection threshold
420112587,DISCARD,No Signal,0.5209,12.178834,0.0,0.000536,0.0,0.1,0.0,2.4,BLS signal SNR is below detection threshold
95122849,DISCARD,No Signal,0.2312,11.386676,0.0,-0.001105,0.0,0.1,0.0,3.84,BLS signal SNR is below detection threshold
294173437,DISCARD,No Signal,0.5675,0.91634,0.0,0.000263,0.0,0.1,0.0,2.16,BLS signal SNR is below detection threshold
406861922,DISCARD,No Signal,0.0972,4.033237,0.0,-0.000248,0.0,0.1,0.0,4.51,BLS signal SNR is below detection threshold
319568755,DISCARD,No Signal,0.336,12.221661,0.0,0.000243,0.0,0.1,0.0,3.32,BLS signal SNR is below detection threshold
371210825,DISCARD,No Signal,0.3566,0.806398,0.0,-2e-06,0.0,0.1,0.0,3.22,BLS signal SNR is below detection threshold
153951307,DISCARD,No Signal,0.4414,3.295517,0.0,8e-05,0.0,0.1,0.0,2.79,BLS signal SNR is below detection threshold
23962456,DISCARD,No Signal,0.0999,9.754688,0.0,0.000454,0.0,0.1,0.0,4.5,BLS signal SNR is below detection threshold
285233023,DISCARD,No Signal,0.538,2.853533,0.0,0.000261,0.0,0.1,0.0,2.31,BLS signal SNR is below detection threshold
350733403,DISCARD,No Signal,0.5431,8.77615,0.0,6.2e-05,0.0,0.1,0.0,2.28,BLS signal SNR is below detection threshold
219698950,FLAG,No Signal,0.5144,3.422417,0.0001,0.000486,0.0001,0.092925,0.001,5.02,Transit shape prefers box over trapezoid (BIC diff=-8.944); Significant TTV amplitude (52.4 min) → multi-planet system candidate [auto-verdict]
117689799,DISCARD,No Signal,0.1936,2.373,0.0001,1e-05,0.0001,0.000328,0.001,7.41,"Low confidence signal, likely noise or artefact"
405484221,DISCARD,No Signal,0.4589,16.033905,0.0,0.01693,0.0,0.1,0.0,2.71,BLS signal SNR is below detection threshold
97601086,DISCARD,No Signal,0.5063,1.606364,0.0,-2.4e-05,0.0,0.1,0.0,2.47,BLS signal SNR is below detection threshold
384386061,DISCARD,No Signal,0.3387,5.770664,0.0,0.000491,0.0,0.1,0.0,3.31,BLS signal SNR is below detection threshold
317951248,DISCARD,No Signal,0.0699,3.442519,0.0,0.000293,0.0,0.1,0.0,4.65,BLS signal SNR is below detection threshold
90544017,DISCARD,No Signal,0.3291,3.222715,0.0,-3e-06,0.0,0.1,0.0,3.35,BLS signal SNR is below detection threshold
184869170,DISCARD,No Signal,0.5174,10.362797,0.0,-0.000181,0.0,0.1,0.0,2.41,BLS signal SNR is below detection threshold
108645766,DISCARD,No Signal,0.452,2.973694,0.0,0.005999,0.0,0.1,0.0,2.74,BLS signal SNR is below detection threshold
158555987,DISCARD,No Signal,0.5021,5.555627,0.0,1e-05,0.0,0.1,0.0,2.49,BLS signal SNR is below detection threshold
390048041,DISCARD,No Signal,0.3449,3.050589,0.0,0.000621,0.0,0.1,0.0,3.28,BLS signal SNR is below detection threshold
378159598,DISCARD,No Signal,0.0647,6.140688,0.0,0.000218,0.0,0.1,0.0,4.68,BLS signal SNR is below detection threshold
81212286,DISCARD,No Signal,0.4053,0.685114,0.0,0.000723,0.0,0.1,0.0,2.97,BLS signal SNR is below detection threshold
233720539,FLAG,No Signal,0.303,2.298249,0.0001,0.001273,0.0001,0.0007,0.001,6.09,Transit shape prefers box over trapezoid (BIC diff=-9.371); Significant TTV amplitude (77.4 min) → multi-planet system candidate [auto-verdict]
147456499,DISCARD,No Signal,0.4052,1.255655,0.0001,0.00056,0.0001,0.100775,0.001,9.71,Transit depth below 3× CDPP noise floor [auto-verdict]
464067218,DISCARD,No Signal,0.2387,1.394368,0.0,0.000292,0.0,0.1,0.0,3.81,BLS signal SNR is below detection threshold
158276040,DISCARD,No Signal,0.5921,9.254337,0.0,3.8e-05,0.0,0.1,0.0,2.04,BLS signal SNR is below detection threshold
214243287,FLAG,No Signal,0.7375,5.756117,0.0001,0.000174,0.0001,0.103674,0.001,7.32,Transit shape prefers box over trapezoid (BIC diff=-8.679); Significant TTV amplitude (74.52 min) → multi-planet system candidate [auto-verdict]
28643432,DISCARD,No Signal,0.1601,2.276269,0.0,0.00057,0.0,0.1,0.0,4.2,BLS signal SNR is below detection threshold
322270620,DISCARD,No Signal,0.5459,0.999434,0.0,-2.8e-05,0.0,0.1,0.0,2.27,BLS signal SNR is below detection threshold
324426685,DISCARD,No Signal,0.202,9.88237,0.0,-0.000631,0.0,0.1,0.0,3.99,BLS signal SNR is below detection threshold
173671381,DISCARD,No Signal,0.4309,3.651004,0.0,-0.000113,0.0,0.1,0.0,2.85,BLS signal SNR is below detection threshold
149282072,DISCARD,No Signal,0.4431,17.935792,0.0,-0.000258,0.0,0.1,0.0,2.78,BLS signal SNR is below detection threshold
442530946,FLAG,No Signal,0.593,3.71299,0.0001,0.000241,0.0001,0.104362,0.001,6.2,Signal detected in only 1 TESS sector — may be 1-sector artefact; Transit shape prefers box over trapezoid (BIC diff=-8.571); Significant TTV amplitude (211.32 min) → multi-planet system candidate [auto-verdict]
380886535,DISCARD,No Signal,0.4342,8.907353,0.0,0.000428,0.0,0.1,0.0,2.83,BLS signal SNR is below detection threshold
348684813,DISCARD,No Signal,0.3996,7.747263,0.0,0.000169,0.0,0.1,0.0,3.0,BLS signal SNR is below detection threshold
179308757,DISCARD,No Signal,0.4484,1.933448,0.0,0.000232,0.0,0.1,0.0,2.76,BLS signal SNR is below detection threshold
304025075,DISCARD,No Signal,0.1405,3.331362,0.0001,3.3e-05,0.0001,0.000333,0.001,5.66,"Low confidence signal, likely noise or artefact"
366576758,DISCARD,No Signal,0.4081,11.40122,0.0,-0.000333,0.0,0.1,0.0,2.96,BLS signal SNR is below detection threshold
298073824,DISCARD,No Signal,0.4803,8.406756,0.0,-3.6e-05,0.0,0.1,0.0,2.6,BLS signal SNR is below detection threshold
310267134,DISCARD,No Signal,0.4049,0.544167,0.0,0.000543,0.0,0.1,0.0,2.98,BLS signal SNR is below detection threshold
285118383,DISCARD,No Signal,0.385,13.945657,0.0,0.000266,0.0,0.1,0.0,3.08,BLS signal SNR is below detection threshold
71134735,DISCARD,No Signal,0.3407,2.337367,0.0,0.000297,0.0,0.1,0.0,3.3,BLS signal SNR is below detection threshold
355732304,DISCARD,No Signal,0.3079,2.29937,0.0001,0.000211,0.0001,0.621001,0.001,5.4,Transit depth below 3× CDPP noise floor [auto-verdict]
139118482,DISCARD,No Signal,0.0354,13.42813,0.0,0.000369,0.0,0.1,0.0,4.82,BLS signal SNR is below detection threshold
341630071,DISCARD,No Signal,0.3898,26.179103,0.0,0.000308,0.0,0.1,0.0,3.05,BLS signal SNR is below detection threshold
122522333,DISCARD,No Signal,0.556,9.17787,0.0,4.8e-05,0.0,0.1,0.0,2.22,BLS signal SNR is below detection threshold
458857720,FLAG,No Signal,0.3048,1.440117,0.0001,0.000793,0.0001,0.000144,0.001,5.37,Transit shape prefers box over trapezoid (BIC diff=-4.423); Significant TTV amplitude (112.97 min) → multi-planet system candidate [auto-verdict]
219108677,DISCARD,No Signal,0.0944,5.983513,0.0,-0.000592,0.0,0.1,0.0,4.53,BLS signal SNR is below detection threshold
443042089,DISCARD,No Signal,0.1985,0.549533,0.0,-0.000753,0.0,0.1,0.0,4.01,BLS signal SNR is below detection threshold
41173048,DISCARD,No Signal,0.3489,0.689445,0.0,8.5e-05,0.0,0.1,0.0,3.26,BLS signal SNR is below detection threshold
398572544,DISCARD,No Signal,0.5115,3.425194,0.0001,0.000304,0.0001,0.076829,0.001,7.39,Transit depth below 3× CDPP noise floor [auto-verdict]
103183399,DISCARD,No Signal,0.1974,0.732542,0.0,-0.000306,0.0,0.1,0.0,4.01,BLS signal SNR is below detection threshold
304690618,DISCARD,No Signal,0.4574,14.441591,0.0,0.00013,0.0,0.1,0.0,2.71,BLS signal SNR is below detection threshold
16288184,DISCARD,No Signal,0.0937,2.398696,0.0001,0.00291,0.0001,0.00024,0.001,8.3,"Low confidence signal, likely noise or artefact"
186000935,DISCARD,No Signal,0.4046,8.869769,0.0,-1.3e-05,0.0,0.1,0.0,2.98,BLS signal SNR is below detection threshold
458342769,DISCARD,No Signal,0.4641,3.931258,0.0,4.5e-05,0.0,0.1,0.0,2.68,BLS signal SNR is below detection threshold
280096473,DISCARD,No Signal,0.281,12.881417,0.0,0.000443,0.0,0.1,0.0,3.6,BLS signal SNR is below detection threshold
198211976,DISCARD,No Signal,0.5645,5.711578,0.0,-0.000122,0.0,0.1,0.0,2.18,BLS signal SNR is below detection threshold
140691463,DISCARD,No Signal,0.2923,1.87633,0.0001,0.000254,0.0001,0.562899,0.001,7.17,"Low confidence signal, likely noise or artefact"
42755801,DISCARD,No Signal,0.1529,4.341792,0.0,4.4e-05,0.0,0.1,0.0,4.24,BLS signal SNR is below detection threshold
160268701,DISCARD,No Signal,0.1092,11.207323,0.0,-9.3e-05,0.0,0.1,0.0,4.45,BLS signal SNR is below detection threshold
400323948,DISCARD,No Signal,0.5094,3.229407,0.0,-9.2e-05,0.0,0.1,0.0,2.45,BLS signal SNR is below detection threshold
176772671,DISCARD,No Signal,0.5122,1.332577,0.0001,0.02878,0.0001,0.056093,0.001,6.22,Transit depth below 3× CDPP noise floor [auto-verdict]
279769094,DISCARD,No Signal,0.403,0.653038,0.0,-0.000794,0.0,0.1,0.0,2.99,BLS signal SNR is below detection threshold
260298958,DISCARD,No Signal,0.0813,0.889189,0.0,-0.001235,0.0,0.1,0.0,4.59,BLS signal SNR is below detection threshold
412259468,DISCARD,No Signal,0.3207,2.653705,0.0,-7.6e-05,0.0,0.1,0.0,3.4,BLS signal SNR is below detection threshold
268405086,DISCARD,No Signal,0.5113,11.2611,0.0,0.000419,0.0,0.1,0.0,2.44,BLS signal SNR is below detection threshold
365554300,DISCARD,No Signal,0.132,0.761625,0.0,-0.000409,0.0,0.1,0.0,4.34,BLS signal SNR is below detection threshold
186599508,DISCARD,No Signal,0.3166,5.632838,0.0,0.000119,0.0,0.1,0.0,3.42,BLS signal SNR is below detection threshold
434496663,DISCARD,No Signal,0.1462,7.295549,0.0,-0.000117,0.0,0.1,0.0,4.27,BLS signal SNR is below detection threshold
33945661,DISCARD,No Signal,0.2933,3.482018,0.0,-0.000997,0.0,0.1,0.0,3.53,BLS signal SNR is below detection threshold
200001699,DISCARD,No Signal,0.1482,6.890482,0.0,-8.2e-05,0.0,0.1,0.0,4.26,BLS signal SNR is below detection threshold
209707800,DISCARD,No Signal,0.6341,2.052668,0.0001,0.000259,0.0001,0.08195,0.001,6.94,Transit depth below 3× CDPP noise floor [auto-verdict]
305478010,DISCARD,No Signal,0.0358,3.123238,0.0,-0.000616,0.0,0.1,0.0,4.82,BLS signal SNR is below detection threshold
344085117,DISCARD,No Signal,0.4448,0.659426,0.0,0.00029,0.0,0.1,0.0,2.78,BLS signal SNR is below detection threshold
175180796,DISCARD,No Signal,0.5749,18.418681,0.0,-5.3e-05,0.0,0.1,0.0,2.13,BLS signal SNR is below detection threshold
144043410,FLAG,No Signal,0.3047,0.493043,0.0001,0.004082,0.0001,4.9e-05,0.001,6.07,Signal detected in only 1 TESS sector — may be 1-sector artefact; Transit shape prefers box over trapezoid (BIC diff=-8.545); Significant TTV amplitude (114.78 min) → multi-planet system candidate [auto-verdict]
1405997635,DISCARD,No Signal,0.0807,18.439265,0.0,-0.000353,0.0,0.1,0.0,4.6,BLS signal SNR is below detection threshold
71582156,DISCARD,No Signal,0.482,5.490852,0.0,8e-06,0.0,0.1,0.0,2.59,BLS signal SNR is below detection threshold
426077080,DISCARD,No Signal,0.2599,9.308392,0.0,4.6e-05,0.0,0.1,0.0,3.7,BLS signal SNR is below detection threshold
328934980,DISCARD,No Signal,0.4123,17.167161,0.0,-3e-05,0.0,0.1,0.0,2.94,BLS signal SNR is below detection threshold
75878355,FLAG,No Signal,0.3024,8.306342,0.0001,0.000287,0.0001,0.000964,0.001,5.52,Transit shape prefers box over trapezoid (BIC diff=-9.158); Significant TTV amplitude (77.26 min) → multi-planet system candidate [auto-verdict]
302814895,DISCARD,No Signal,0.466,19.433113,0.0,2.8e-05,0.0,0.1,0.0,2.67,BLS signal SNR is below detection threshold
11111899,DISCARD,No Signal,0.0018,0.619344,0.0,-4.3e-05,0.0,0.1,0.0,4.99,BLS signal SNR is below detection threshold
279740441,DISCARD,No Signal,0.3775,0.741776,0.0,5e-06,0.0,0.1,0.0,3.11,BLS signal SNR is below detection threshold
188989177,KEEP,No Signal,0.5432,1.174535,0.0001,0.000108,0.0001,0.100259,0.001,9.47,Upgraded from FLAG: all key diagnostics passed [auto-verdict]
421308357,DISCARD,No Signal,0.2109,16.53536,0.0,0.000151,0.0,0.1,0.0,3.95,BLS signal SNR is below detection threshold
374200604,DISCARD,No Signal,0.4047,0.759986,0.0,0.000137,0.0,0.1,0.0,2.98,BLS signal SNR is below detection threshold
166184426,DISCARD,No Signal,0.4459,5.934072,0.0,-9.4e-05,0.0,0.1,0.0,2.77,BLS signal SNR is below detection threshold
284903922,DISCARD,No Signal,0.4634,3.888833,0.0,-4.4e-05,0.0,0.1,0.0,2.68,BLS signal SNR is below detection threshold
160162137,DISCARD,No Signal,0.5935,16.126273,0.0,0.002248,0.0,0.1,0.0,2.03,BLS signal SNR is below detection threshold
391903064,FLAG,No Signal,0.6271,24.069732,0.0001,0.002087,0.0001,0.598754,0.001,6.49,Transit shape prefers box over trapezoid (BIC diff=1.3); Significant TTV amplitude (174.42 min) → multi-planet system candidate [auto-verdict]
453230066,DISCARD,No Signal,0.5849,6.844458,0.0,5e-05,0.0,0.1,0.0,2.08,BLS signal SNR is below detection threshold
403135192,DISCARD,No Signal,0.1502,0.901403,0.0,9.1e-05,0.0,0.1,0.0,4.25,BLS signal SNR is below detection threshold
237808867,FLAG,No Signal,0.7498,0.567291,0.0001,0.00064,0.0001,0.063465,0.001,5.16,Signal detected in only 1 TESS sector — may be 1-sector artefact; Transit shape prefers box over trapezoid (BIC diff=-9.25); Significant TTV amplitude (216.62 min) → multi-planet system candidate [auto-verdict]
341815767,DISCARD,No Signal,0.4147,6.673528,0.0,0.00015,0.0,0.1,0.0,2.93,BLS signal SNR is below detection threshold
219239945,DISCARD,No Signal,0.5527,9.086797,0.0,-8.6e-05,0.0,0.1,0.0,2.24,BLS signal SNR is below detection threshold
375199523,DISCARD,No Signal,0.2996,1.945983,0.0,-0.000158,0.0,0.1,0.0,3.5,BLS signal SNR is below detection threshold
331484419,DISCARD,No Signal,0.1845,6.257403,0.0,6.6e-05,0.0,0.1,0.0,4.08,BLS signal SNR is below detection threshold
219728669,DISCARD,No Signal,0.0384,2.360605,0.0,-4.7e-05,0.0,0.1,0.0,4.81,BLS signal SNR is below detection threshold
4426490,DISCARD,No Signal,0.677,2.666664,0.0001,0.000852,0.0001,0.074833,0.001,7.73,Transit depth below 3× CDPP noise floor [auto-verdict]
298074836,DISCARD,No Signal,0.5295,11.4669,0.0,-0.001664,0.0,0.1,0.0,2.35,BLS signal SNR is below detection threshold
261136679,DISCARD,No Signal,0.2978,5.013916,0.0001,0.000100,0.0001,2.506958,0.001,5.81,"[too_small_flag] Fitted radius 0.16 R_earth is below the ~0.5 R_earth TESS detection limit. Signal may be instrumental noise or a very grazing geometry. Treat with caution.; Low confidence signal, likely noise or artefact",,,skipped,,0,24
441420236,DISCARD,No Signal,0.1523,26.666613,0.0001,0.000100,0.0001,13.333306,0.001,18.31,"[too_small_flag] Fitted radius 0.12 R_earth is below the ~0.5 R_earth TESS detection limit. Signal may be instrumental noise or a very grazing geometry. Treat with caution.; Low confidence signal, likely noise or artefact",,,skipped,,0,3
350618622,DISCARD,No Signal,0.0000,26.956952,0.0001,0.000000,0.0001,0.000000,0.001,2.18,"alias_discard: top period 26.9570 d matches TESS systematic (aliases: [0.5, 1.0, 2.0, 13.5] d +-0.01 d), no clean alternative found"
100990000,DISCARD,No Signal,0.0000,9.571214,0.0001,0.000000,0.0001,0.000000,0.001,2.62,"alias_discard: top period 9.5712 d matches TESS systematic (aliases: [0.5, 1.0, 2.0, 13.5] d +-0.01 d), no clean alternative found"
229742722,DISCARD,No Signal,0.0000,4.386008,0.0001,0.000000,0.0001,0.000000,0.001,2.19,"alias_discard: top period 4.3860 d matches TESS systematic (aliases: [0.5, 1.0, 2.0, 13.5] d +-0.01 d), no clean alternative found"
388857263,DISCARD,No Signal,0.1502,13.935944,0.0001,0.000100,0.0001,6.967972,0.001,6.25,"Low confidence signal, likely noise or artefact",,,skipped,,0,8
229055790,DISCARD,No Signal,0.0000,0.763450,0.0001,0.000000,0.0001,0.000000,0.001,2.40,"alias_discard: top period 0.7635 d matches TESS systematic (aliases: [0.5, 1.0, 2.0, 13.5] d +-0.01 d), no clean alternative found"
261136679,DISCARD,No Signal,0.2978,5.013916,0.0001,0.000100,0.0001,2.506958,0.001,5.81,"[too_small_flag] Fitted radius 0.16 R_earth is below the ~0.5 R_earth TESS detection limit. Signal may be instrumental noise or a very grazing geometry. Treat with caution.; Low confidence signal, likely noise or artefact",,,skipped,,0,24
307210830,DISCARD,No Signal,0.0000,3.689362,0.0001,0.000000,0.0001,0.100000,0.001,4.96,SNR below threshold,,,skipped,,0,1
460205581,DISCARD,No Signal,0.0000,16.653188,0.0001,0.000000,0.0001,0.100000,0.001,4.80,SNR below threshold,,,skipped,,0,1
149603524,DISCARD,No Signal,0.0000,0.881982,0.0001,0.000000,0.0001,0.100000,0.001,3.50,SNR below threshold,,,skipped,,0,1
259377017,DISCARD,No Signal,0.0000,5.662125,0.0001,0.000000,0.0001,0.100000,0.001,4.17,SNR below threshold,,,skipped,,0,1
441420236,DISCARD,No Signal,0.1523,26.666613,0.0001,0.000100,0.0001,13.333306,0.001,18.31,"[too_small_flag] Fitted radius 0.12 R_earth is below the ~0.5 R_earth TESS detection limit. Signal may be instrumental noise or a very grazing geometry. Treat with caution.; Low confidence signal, likely noise or artefact",,,skipped,,0,3
350618622,DISCARD,No Signal,0.0000,26.956952,0.0001,0.000000,0.0001,0.000000,0.001,2.18,"alias_discard: top period 26.9570 d matches TESS systematic (aliases: [0.5, 1.0, 2.0, 13.5] d +-0.01 d), no clean alternative found"
100990000,DISCARD,No Signal,0.0000,9.571214,0.0001,0.000000,0.0001,0.000000,0.001,2.62,"alias_discard: top period 9.5712 d matches TESS systematic (aliases: [0.5, 1.0, 2.0, 13.5] d +-0.01 d), no clean alternative found"
229742722,DISCARD,No Signal,0.0000,4.386008,0.0001,0.000000,0.0001,0.000000,0.001,2.19,"alias_discard: top period 4.3860 d matches TESS systematic (aliases: [0.5, 1.0, 2.0, 13.5] d +-0.01 d), no clean alternative found"
388857263,DISCARD,No Signal,0.1502,13.935944,0.0001,0.000100,0.0001,6.967972,0.001,6.25,"Low confidence signal, likely noise or artefact",,,skipped,,0,8
229055790,DISCARD,No Signal,0.0000,0.763450,0.0001,0.000000,0.0001,0.000000,0.001,2.40,"alias_discard: top period 0.7635 d matches TESS systematic (aliases: [0.5, 1.0, 2.0, 13.5] d +-0.01 d), no clean alternative found"
271893367,DISCARD,No Signal,0.0000,5.846198,0.0001,0.000000,0.0001,0.100000,0.001,4.72,SNR below threshold,,,skipped,,0,1
144700903,DISCARD,No Signal,0.0000,2.324720,0.0001,0.000000,0.0001,0.100000,0.001,3.93,SNR below threshold,,,skipped,,0,1
261136679,DISCARD,No Signal,0.2978,5.013916,0.0001,0.000100,0.0001,2.506958,0.001,5.81,"[too_small_flag] Fitted radius 0.16 R_earth is below the ~0.5 R_earth TESS detection limit. Signal may be instrumental noise or a very grazing geometry. Treat with caution.; Low confidence signal, likely noise or artefact",,,skipped,,0,24
261136679,DISCARD,No Signal,0.2978,5.013916,0.0001,0.000100,0.0001,2.506958,0.001,5.81,"[too_small_flag] Fitted radius 0.16 R_earth is below the ~0.5 R_earth TESS detection limit. Signal may be instrumental noise or a very grazing geometry. Treat with caution.; Low confidence signal, likely noise or artefact",,,skipped,,0,24
261136679,DISCARD,No Signal,0.2978,5.013916,0.0001,0.000100,0.0001,2.506958,0.001,5.81,"[too_small_flag] Fitted radius 0.16 R_earth is below the ~0.5 R_earth TESS detection limit. Signal may be instrumental noise or a very grazing geometry. Treat with caution.; Low confidence signal, likely noise or artefact",,,skipped,,0,24
307210830,DISCARD,No Signal,0.0000,3.689362,0.0001,0.000000,0.0001,0.100000,0.001,4.96,SNR below threshold,,,skipped,,0,1
460205581,DISCARD,No Signal,0.0000,16.653188,0.0001,0.000000,0.0001,0.100000,0.001,4.80,SNR below threshold,,,skipped,,0,1
149603524,DISCARD,No Signal,0.0000,0.881982,0.0001,0.000000,0.0001,0.100000,0.001,3.50,SNR below threshold,,,skipped,,0,1
259377017,DISCARD,No Signal,0.0000,5.662125,0.0001,0.000000,0.0001,0.100000,0.001,4.17,SNR below threshold,,,skipped,,0,1
441420236,DISCARD,No Signal,0.1523,26.666613,0.0001,0.000100,0.0001,13.333306,0.001,18.31,"[too_small_flag] Fitted radius 0.12 R_earth is below the ~0.5 R_earth TESS detection limit. Signal may be instrumental noise or a very grazing geometry. Treat with caution.; Low confidence signal, likely noise or artefact",,,skipped,,0,3
350618622,DISCARD,No Signal,0.0000,26.956952,0.0001,0.000000,0.0001,0.000000,0.001,2.18,"alias_discard: top period 26.9570 d matches TESS systematic (aliases: [0.5, 1.0, 2.0, 13.5] d +-0.01 d), no clean alternative found"
100990000,DISCARD,No Signal,0.0000,9.571214,0.0001,0.000000,0.0001,0.000000,0.001,2.62,"alias_discard: top period 9.5712 d matches TESS systematic (aliases: [0.5, 1.0, 2.0, 13.5] d +-0.01 d), no clean alternative found"
229742722,DISCARD,No Signal,0.0000,4.386008,0.0001,0.000000,0.0001,0.000000,0.001,2.19,"alias_discard: top period 4.3860 d matches TESS systematic (aliases: [0.5, 1.0, 2.0, 13.5] d +-0.01 d), no clean alternative found"
388857263,DISCARD,No Signal,0.1502,13.935944,0.0001,0.000100,0.0001,6.967972,0.001,6.25,"Low confidence signal, likely noise or artefact",,,skipped,,0,8
229055790,DISCARD,No Signal,0.0000,0.763450,0.0001,0.000000,0.0001,0.000000,0.001,2.40,"alias_discard: top period 0.7635 d matches TESS systematic (aliases: [0.5, 1.0, 2.0, 13.5] d +-0.01 d), no clean alternative found"
271893367,DISCARD,No Signal,0.0000,5.846198,0.0001,0.000000,0.0001,0.100000,0.001,4.72,SNR below threshold,,,skipped,,0,1
144700903,DISCARD,No Signal,0.0000,2.324720,0.0001,0.000000,0.0001,0.100000,0.001,3.93,SNR below threshold,,,skipped,,0,1
261136679,DISCARD,No Signal,0.2169,7.521058,0.0001,0.000100,0.0001,3.760529,0.001,20.29,"Low confidence signal, likely noise or artefact",,,skipped,,0,24
307210830,DISCARD,No Signal,0.1720,4.429728,0.0001,0.000100,0.0001,2.214864,0.001,21.85,"Low confidence signal, likely noise or artefact",,,skipped,,0,28
460205581,DISCARD,No Signal,0.1082,6.654175,0.0001,0.000100,0.0001,3.327088,0.001,12.30,"Low confidence signal, likely noise or artefact",,,skipped,,0,7
149603524,DISCARD,No Signal,0.0000,0.875499,0.0001,0.000000,0.0001,0.100000,0.001,4.32,SNR below threshold,,,skipped,,0,1
259377017,DISCARD,No Signal,0.1100,4.529840,0.0001,0.000100,0.0001,2.264920,0.001,14.24,"Low confidence signal, likely noise or artefact",,,skipped,,0,8
441420236,DISCARD,No Signal,0.0591,3.734772,0.0001,0.000100,0.0001,1.867386,0.001,8.41,"Low confidence signal, likely noise or artefact",,,skipped,,0,3
350618622,DISCARD,No Signal,0.1957,1.983114,0.0001,0.000100,0.0001,0.991557,0.001,5.79,"Low confidence signal, likely noise or artefact",,,skipped,,0,39
100990000,DISCARD,No Signal,0.1812,7.669740,0.0001,0.000100,0.0001,3.834870,0.001,6.97,"Low confidence signal, likely noise or artefact",,,skipped,,0,5
229742722,DISCARD,No Signal,0.1698,5.033186,0.0001,0.000100,0.0001,2.516593,0.001,6.38,"Low confidence signal, likely noise or artefact",,,skipped,,0,40
388857263,DISCARD,Planet Transit,0.0473,11.299439,0.0001,0.000100,0.0001,5.649719,0.001,11.40,"Low confidence signal, likely noise or artefact",,,skipped,,0,8
229055790,DISCARD,No Signal,0.1559,10.536668,0.0001,0.000100,0.0001,5.268334,0.001,6.70,"Low confidence signal, likely noise or artefact",,,skipped,,0,4
271893367,DISCARD,No Signal,0.1389,4.683394,0.0001,0.000100,0.0001,2.341697,0.001,14.94,"Low confidence signal, likely noise or artefact",,,skipped,,0,44
144700903,DISCARD,No Signal,0.1113,1.862376,0.0001,0.000100,0.0001,0.931188,0.001,18.43,"Low confidence signal, likely noise or artefact",,,skipped,,0,4
261136679,DISCARD,No Signal,0.1416,5.013916,0.0001,0.000100,0.0001,2.506958,0.001,7.10,"Low confidence signal, likely noise or artefact",,,skipped,,0,24
261136679,DISCARD,No Signal,0.1163,7.521058,0.0001,0.000100,0.0001,3.760529,0.001,19.00,"Low confidence signal, likely noise or artefact",,,skipped,,0,24
261136679,DISCARD,No Signal,0.1163,7.521058,0.0001,0.000100,0.0001,3.760529,0.001,19.00,"Low confidence signal, likely noise or artefact",,,skipped,,0,24
